ID_Solicitud,Edad,Ciudad,Tipo_Contrato,Antiguedad_Laboral_Anos,Ingresos_Mensuales_MCOP,Vivienda_Actual,Historial_Crediticio,Anos_Historial_Crediticio,Mora_Previa,Nivel_Endeudamiento_Pct,Relacion_Cuota_Ingreso_Pct,Ahorro_Disponible_MCOP,Tipo_Vivienda,Valor_Vivienda_MCOP,Monto_Solicitado_MCOP,Plazo_Anos,Tasa_Interes_EA_Pct,Aplica_Subsidio,Nivel_Riesgo,Estado_Solicitud,Segmento_Cliente
SOL-00001,21,Cúcuta,Indefinido,5,3.36,Propietario,Bueno,2,No,16.5,10.0,23.1,VIS,56.7,33.6,25,11.1,Sí,Bajo,Aprobado,Posible subsidio Mi Casa Ya
SOL-00002,25,Bogotá,Término fijo,1,3.36,Hipotecado,Regular,3,No,85.0,57.0,47.8,No VIS,232.6,184.8,30,12.9,No,Alto,En estudio,Alto riesgo financiero
SOL-00003,23,Barranquilla,Indefinido,4,22.92,Arrendatario,Regular,2,No,84.6,53.0,38.9,No VIS,938.9,900.0,20,15.2,No,Medio,Rechazado,Alto riesgo financiero
SOL-00004,24,Medellín,Indefinido,8,19.04,Arrendatario,Regular,4,Sí,85.0,55.0,80.5,No VIS,980.5,900.0,30,14.3,No,Alto,Rechazado,Alto riesgo financiero
SOL-00005,21,Medellín,Independiente,2,3.46,Propietario,Bueno,2,No,60.4,25.0,34.3,VIS,118.3,84.0,25,11.0,Sí,Medio,Rechazado,Posible subsidio Mi Casa Ya
SOL-00006,26,Bogotá,Indefinido,8,26.98,Arrendatario,Bueno,3,No,83.6,45.0,82.7,No VIS,982.7,900.0,25,12.4,No,Medio,Rechazado,Alta capacidad de pago
SOL-00007,24,Bogotá,Indefinido,5,27.63,Arrendatario,Bueno,4,No,85.0,44.0,46.9,No VIS,946.9,900.0,25,11.1,No,Medio,Rechazado,Alta capacidad de pago
SOL-00008,24,Cartagena,Indefinido,8,29.05,Arrendatario,Bueno,2,No,64.6,42.0,88.6,No VIS,988.6,900.0,25,11.0,No,Medio,En estudio,Alta capacidad de pago
SOL-00009,21,Pereira,Indefinido,6,3.5,Propietario,Regular,3,No,33.4,16.0,20.1,VIS,73.9,53.8,20,14.7,Sí,Medio,Rechazado,Posible subsidio Mi Casa Ya
SOL-00010,22,Medellín,Término fijo,6,29.75,Arrendatario,Bueno,4,No,85.0,41.0,90.2,No VIS,990.2,900.0,25,11.0,No,Medio,Rechazado,Alta capacidad de pago
SOL-00011,21,Ibagué,Indefinido,2,3.5,Propietario,Bueno,2,No,85.0,45.0,76.9,No VIS,228.1,151.2,30,11.0,No,Medio,Rechazado,Alto riesgo financiero
SOL-00012,23,Bogotá,Término fijo,2,33.25,Arrendatario,Bueno,2,No,60.6,37.0,107.7,No VIS,1007.7,900.0,15,11.0,No,Medio,En estudio,Alta capacidad de pago
SOL-00013,26,Barranquilla,Término fijo,4,37.86,Arrendatario,Malo,4,No,72.2,32.0,126.4,No VIS,1026.4,900.0,15,18.4,No,Alto,En estudio,Alto riesgo financiero
